id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4949,4949,AssignmentMutator,this.defaultWidth=width,*,0,0.5539088,this.defaultWidth <mask>= width,"void setWidth(int width)
    {
        this.defaultWidth<mask>= width;
    }"
1,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4949,4949,AssignmentMutator,this.defaultWidth=width,|,1,0.10392741,this.defaultWidth <mask>= width,"void setWidth(int width)
    {
        this.defaultWidth<mask>= width;
    }"
2,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4949,4949,AssignmentMutator,this.defaultWidth=width,/,2,0.049079612,this.defaultWidth <mask>= width,"void setWidth(int width)
    {
        this.defaultWidth<mask>= width;
    }"
3,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4949,4949,AssignmentMutator,this.defaultWidth=width,,3,0.030767355,this.defaultWidth <mask>= width,"void setWidth(int width)
    {
        this.defaultWidth<mask>= width;
    }"
4,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4949,4949,AssignmentMutator,this.defaultWidth=width,^,4,0.026615806,this.defaultWidth <mask>= width,"void setWidth(int width)
    {
        this.defaultWidth<mask>= width;
    }"
5,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4948,IdentifierMutator-Variable,this.defaultWidth,width,0,0.98146284,<mask>,"void setWidth(int width)
    {<mask> = width;
    }"
6,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4948,IdentifierMutator-Variable,this.defaultWidth,width,1,0.0038212386,<mask>,"void setWidth(int width)
    {<mask> = width;
    }"
7,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4948,IdentifierMutator-Variable,this.defaultWidth,Width,2,0.0036408238,<mask>,"void setWidth(int width)
    {<mask> = width;
    }"
8,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4948,IdentifierMutator-Variable,this.defaultWidth,w,3,0.0026923541,<mask>,"void setWidth(int width)
    {<mask> = width;
    }"
9,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4948,IdentifierMutator-Variable,this.defaultWidth,Width,4,0.0025274192,<mask>,"void setWidth(int width)
    {<mask> = width;
    }"
10,HelpFormatter.java,setWidth,void setWidth(int width),152,154,4932,4935,IdentifierMutator-ThisAccess,this,m,1,0.020001862,<mask>,"void setWidth(int width)
    {<mask>.defaultWidth = width;
    }"
