id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2001,2005,MethodCallMutator,parse,execute,1,0.0011544157,"<mask>(options, arguments, null)","CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return<mask>(options, arguments, null);
    }"
1,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2001,2005,MethodCallMutator,parse,parser,3,5.78277E-4,"<mask>(options, arguments, null)","CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return<mask>(options, arguments, null);
    }"
2,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2001,2005,MethodCallMutator,parse,exec,4,4.7930377E-4,"<mask>(options, arguments, null)","CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return<mask>(options, arguments, null);
    }"
3,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2007,2013,IdentifierMutator-Variable,options,Options,1,2.1903259E-4,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(<mask>, arguments, null);
    }"
4,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2007,2013,IdentifierMutator-Variable,options,this,3,3.7184844E-5,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(<mask>, arguments, null);
    }"
5,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2007,2013,IdentifierMutator-Variable,options,ts,4,6.7157816E-6,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(<mask>, arguments, null);
    }"
6,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2016,2024,IdentifierMutator-Variable,arguments,argument,1,5.1025825E-4,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options,<mask>, null);
    }"
7,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2016,2024,IdentifierMutator-Variable,arguments,args,2,1.1071074E-4,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options,<mask>, null);
    }"
8,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2016,2024,IdentifierMutator-Variable,arguments,null,3,2.7114746E-5,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options,<mask>, null);
    }"
9,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2016,2024,IdentifierMutator-Variable,arguments,uments,4,1.594821E-5,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options,<mask>, null);
    }"
10,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2027,2030,IdentifierMutator-Literal,null,true,0,0.3447116,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options, arguments,<mask>);
    }"
11,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2027,2030,IdentifierMutator-Literal,null,false,1,0.34390944,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options, arguments,<mask>);
    }"
12,DefaultParser.java,parse,"CommandLine parse(Options options, String[] arguments) throws ParseException",58,60,2027,2030,IdentifierMutator-Literal,null,0,3,0.022636736,<mask>,"CommandLine parse(Options options, String[] arguments) throws ParseException
    {
        return parse(options, arguments,<mask>);
    }"
