id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,SoundexUtils.java,clean,String clean(String str),40,41,1395,1398,BinaryOperatorMutator,||,|,2,0.015799182,(str == null) <mask> (str.length() == 0),"String clean(String str) {
        if (str == null<mask>str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
1,SoundexUtils.java,clean,String clean(String str),40,41,1395,1398,BinaryOperatorMutator,||,/,3,0.00436747,(str == null) <mask> (str.length() == 0),"String clean(String str) {
        if (str == null<mask>str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
2,SoundexUtils.java,clean,String clean(String str),40,41,1395,1398,BinaryOperatorMutator,||,.,4,0.0043052323,(str == null) <mask> (str.length() == 0),"String clean(String str) {
        if (str == null<mask>str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
3,SoundexUtils.java,clean,String clean(String str),40,41,1387,1390,BinaryOperatorMutator,==,=,2,0.0021118063,str <mask> null,"String clean(String str) {
        if (str<mask>null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
4,SoundexUtils.java,clean,String clean(String str),40,41,1387,1390,BinaryOperatorMutator,==,!=,3,6.521875E-4,str <mask> null,"String clean(String str) {
        if (str<mask>null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
5,SoundexUtils.java,clean,String clean(String str),40,41,1387,1390,BinaryOperatorMutator,==,===,4,3.6881046E-4,str <mask> null,"String clean(String str) {
        if (str<mask>null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
6,SoundexUtils.java,clean,String clean(String str),40,41,1384,1386,IdentifierMutator-Variable,str,string,1,0.002974581,<mask>,"String clean(String str) {
        if (<mask> == null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
7,SoundexUtils.java,clean,String clean(String str),40,41,1384,1386,IdentifierMutator-Variable,str,obj,2,6.1352574E-4,<mask>,"String clean(String str) {
        if (<mask> == null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
8,SoundexUtils.java,clean,String clean(String str),40,41,1384,1386,IdentifierMutator-Variable,str,arr,4,5.0049496E-4,<mask>,"String clean(String str) {
        if (<mask> == null || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
9,SoundexUtils.java,clean,String clean(String str),40,41,1391,1394,IdentifierMutator-Literal,null,this,1,4.505676E-4,<mask>,"String clean(String str) {
        if (str ==<mask> || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
10,SoundexUtils.java,clean,String clean(String str),40,41,1391,1394,IdentifierMutator-Literal,null,NULL,2,1.5296829E-4,<mask>,"String clean(String str) {
        if (str ==<mask> || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
11,SoundexUtils.java,clean,String clean(String str),40,41,1391,1394,IdentifierMutator-Literal,null,str,3,7.6610326E-5,<mask>,"String clean(String str) {
        if (str ==<mask> || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
12,SoundexUtils.java,clean,String clean(String str),40,41,1391,1394,IdentifierMutator-Literal,null,"""""",4,5.7564288E-5,<mask>,"String clean(String str) {
        if (str ==<mask> || str.length() == 0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
13,SoundexUtils.java,clean,String clean(String str),40,41,1411,1414,BinaryOperatorMutator,==,>,2,0.022470798,str.length() <mask> 0,"String clean(String str) {
        if (str == null || str.length()<mask>0) {
            return str;
        }
        int len = str.length();
        char[] chars = new char[len];
        int count = 0;
        for (int i = 0; i < len; i++) {
            if (Character.isLetter(str.charAt(i))) {
                chars[count++] = str.charAt(i);
            }
        }
        if (count == len) {
            return str.toUpperCase(java.util.Locale.ENGLISH);
        }
        return new String(chars, 0, count).toUpperCase(java.util.Locale.ENGLISH);
    }"
