id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2654,2657,BinaryOperatorMutator,==,===,2,0.04981092,cs1 <mask> cs2,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (cs1<mask>cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
1,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2654,2657,BinaryOperatorMutator,==,&&,3,0.025683977,cs1 <mask> cs2,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (cs1<mask>cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
2,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2654,2657,BinaryOperatorMutator,==,===,4,0.019924872,cs1 <mask> cs2,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (cs1<mask>cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
3,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2651,2653,IdentifierMutator-Variable,cs1,1,0,0.6898456,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (<mask> == cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
4,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2651,2653,IdentifierMutator-Variable,cs1,null,1,0.07642681,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (<mask> == cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
5,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2651,2653,IdentifierMutator-Variable,cs1,cs,2,0.04393018,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (<mask> == cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
6,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2651,2653,IdentifierMutator-Variable,cs1,this,3,0.01973464,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (<mask> == cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
7,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2651,2653,IdentifierMutator-Variable,cs1,c,4,0.019106574,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (<mask> == cs2) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
8,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2658,2660,IdentifierMutator-Variable,cs2,null,0,0.64898545,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (cs1 ==<mask>) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
9,StringUtils.java,equals,"boolean equals(final CharSequence cs1, final CharSequence cs2)",70,71,2658,2660,IdentifierMutator-Variable,cs2,2,1,0.16664687,<mask>,"boolean equals(final CharSequence cs1, final CharSequence cs2) {
        if (cs1 ==<mask>) {
            return true;
        }
        if (cs1 == null || cs2 == null) {
            return false;
        }
        if (cs1 instanceof String && cs2 instanceof String) {
            return cs1.equals(cs2);
        }
        return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
    }"
