id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Lang.java,matches,boolean matches(final String txt),91,92,4058,4061,MethodCallMutator,find,matches,0,0.6655857,this.pattern.matcher(txt).<mask>(),"boolean matches(final String txt) {
            return this.pattern.matcher(txt).<mask>();
        }"
1,Lang.java,matches,boolean matches(final String txt),91,92,4058,4061,MethodCallMutator,find,match,1,0.17561813,this.pattern.matcher(txt).<mask>(),"boolean matches(final String txt) {
            return this.pattern.matcher(txt).<mask>();
        }"
2,Lang.java,matches,boolean matches(final String txt),91,92,4058,4061,MethodCallMutator,find,matched,3,0.01911858,this.pattern.matcher(txt).<mask>(),"boolean matches(final String txt) {
            return this.pattern.matcher(txt).<mask>();
        }"
3,Lang.java,matches,boolean matches(final String txt),91,92,4058,4061,MethodCallMutator,find,length,4,0.011218008,this.pattern.matcher(txt).<mask>(),"boolean matches(final String txt) {
            return this.pattern.matcher(txt).<mask>();
        }"
4,Lang.java,matches,boolean matches(final String txt),91,92,4045,4051,MethodCallMutator,matcher,match,0,0.7676217,this.pattern.<mask>(txt),"boolean matches(final String txt) {
            return this.pattern.<mask>(txt).find();
        }"
5,Lang.java,matches,boolean matches(final String txt),91,92,4045,4051,MethodCallMutator,matcher,split,1,0.059735447,this.pattern.<mask>(txt),"boolean matches(final String txt) {
            return this.pattern.<mask>(txt).find();
        }"
6,Lang.java,matches,boolean matches(final String txt),91,92,4045,4051,MethodCallMutator,matcher,pattern,2,0.050991334,this.pattern.<mask>(txt),"boolean matches(final String txt) {
            return this.pattern.<mask>(txt).find();
        }"
7,Lang.java,matches,boolean matches(final String txt),91,92,4045,4051,MethodCallMutator,matcher,cher,3,0.017814493,this.pattern.<mask>(txt),"boolean matches(final String txt) {
            return this.pattern.<mask>(txt).find();
        }"
8,Lang.java,matches,boolean matches(final String txt),91,92,4045,4051,MethodCallMutator,matcher,parse,4,0.016189774,this.pattern.<mask>(txt),"boolean matches(final String txt) {
            return this.pattern.<mask>(txt).find();
        }"
9,Lang.java,matches,boolean matches(final String txt),91,92,4032,4043,IdentifierMutator-Variable,this.pattern,pattern,0,0.5365879,<mask>,"boolean matches(final String txt) {
            return<mask>.matcher(txt).find();
        }"
10,Lang.java,matches,boolean matches(final String txt),91,92,4032,4043,IdentifierMutator-Variable,this.pattern,regex,1,0.22739117,<mask>,"boolean matches(final String txt) {
            return<mask>.matcher(txt).find();
        }"
11,Lang.java,matches,boolean matches(final String txt),91,92,4032,4043,IdentifierMutator-Variable,this.pattern,re,2,0.030332934,<mask>,"boolean matches(final String txt) {
            return<mask>.matcher(txt).find();
        }"
12,Lang.java,matches,boolean matches(final String txt),91,92,4032,4043,IdentifierMutator-Variable,this.pattern,Pattern,3,0.025831563,<mask>,"boolean matches(final String txt) {
            return<mask>.matcher(txt).find();
        }"
13,Lang.java,matches,boolean matches(final String txt),91,92,4032,4043,IdentifierMutator-Variable,this.pattern,match,4,0.011853392,<mask>,"boolean matches(final String txt) {
            return<mask>.matcher(txt).find();
        }"
