id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14538,14541,BinaryOperatorMutator,==,=,0,0.2843572,this.encodeTable <mask> org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,"boolean isUrlSafe() {
        return this.encodeTable<mask>URL_SAFE_ENCODE_TABLE;
    }"
1,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14538,14541,BinaryOperatorMutator,==,IS,1,0.2492414,this.encodeTable <mask> org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,"boolean isUrlSafe() {
        return this.encodeTable<mask>URL_SAFE_ENCODE_TABLE;
    }"
2,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14538,14541,BinaryOperatorMutator,==,.,2,0.2025588,this.encodeTable <mask> org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,"boolean isUrlSafe() {
        return this.encodeTable<mask>URL_SAFE_ENCODE_TABLE;
    }"
3,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14538,14541,BinaryOperatorMutator,==,Is,3,0.079036824,this.encodeTable <mask> org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,"boolean isUrlSafe() {
        return this.encodeTable<mask>URL_SAFE_ENCODE_TABLE;
    }"
4,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14538,14541,BinaryOperatorMutator,==,_,4,0.03650931,this.encodeTable <mask> org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,"boolean isUrlSafe() {
        return this.encodeTable<mask>URL_SAFE_ENCODE_TABLE;
    }"
5,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14537,IdentifierMutator-Variable,this.encodeTable,table,0,0.70714295,<mask>,"boolean isUrlSafe() {
        return<mask> == URL_SAFE_ENCODE_TABLE;
    }"
6,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14537,IdentifierMutator-Variable,this.encodeTable,encoding,1,0.062470734,<mask>,"boolean isUrlSafe() {
        return<mask> == URL_SAFE_ENCODE_TABLE;
    }"
7,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14537,IdentifierMutator-Variable,this.encodeTable,enc,2,0.022495214,<mask>,"boolean isUrlSafe() {
        return<mask> == URL_SAFE_ENCODE_TABLE;
    }"
8,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14537,IdentifierMutator-Variable,this.encodeTable,type,3,0.013758537,<mask>,"boolean isUrlSafe() {
        return<mask> == URL_SAFE_ENCODE_TABLE;
    }"
9,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14537,IdentifierMutator-Variable,this.encodeTable,tables,4,0.01133225,<mask>,"boolean isUrlSafe() {
        return<mask> == URL_SAFE_ENCODE_TABLE;
    }"
10,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14525,IdentifierMutator-ThisAccess,this,config,1,0.03620054,<mask>,"boolean isUrlSafe() {
        return<mask>.encodeTable == URL_SAFE_ENCODE_TABLE;
    }"
11,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14525,IdentifierMutator-ThisAccess,this,options,2,0.015777318,<mask>,"boolean isUrlSafe() {
        return<mask>.encodeTable == URL_SAFE_ENCODE_TABLE;
    }"
12,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14525,IdentifierMutator-ThisAccess,this,settings,3,0.014880351,<mask>,"boolean isUrlSafe() {
        return<mask>.encodeTable == URL_SAFE_ENCODE_TABLE;
    }"
13,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14522,14525,IdentifierMutator-ThisAccess,this,env,4,0.009000222,<mask>,"boolean isUrlSafe() {
        return<mask>.encodeTable == URL_SAFE_ENCODE_TABLE;
    }"
14,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14527,14537,FieldReferenceMutator,encodeTable,table,0,0.61776394,this.<mask>,"boolean isUrlSafe() {
        return this.<mask> == URL_SAFE_ENCODE_TABLE;
    }"
15,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14527,14537,FieldReferenceMutator,encodeTable,enc,1,0.036451984,this.<mask>,"boolean isUrlSafe() {
        return this.<mask> == URL_SAFE_ENCODE_TABLE;
    }"
16,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14527,14537,FieldReferenceMutator,encodeTable,code,2,0.03590355,this.<mask>,"boolean isUrlSafe() {
        return this.<mask> == URL_SAFE_ENCODE_TABLE;
    }"
17,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14527,14537,FieldReferenceMutator,encodeTable,type,3,0.03188064,this.<mask>,"boolean isUrlSafe() {
        return this.<mask> == URL_SAFE_ENCODE_TABLE;
    }"
18,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14527,14537,FieldReferenceMutator,encodeTable,name,4,0.025844902,this.<mask>,"boolean isUrlSafe() {
        return this.<mask> == URL_SAFE_ENCODE_TABLE;
    }"
19,Base64.java,isUrlSafe,boolean isUrlSafe(),359,360,14542,14562,IdentifierMutator-Variable,org.apache.commons.codec.binary.Base64.URL_SAFE_ENCODE_TABLE,table,0,0.7777944,<mask>,"boolean isUrlSafe() {
        return this.encodeTable ==<mask>;
    }"
