id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Elements.java,clone,Elements clone(),39,42,1070,1077,IdentifierMutator-Variable,contents,elements,0,0.92669374,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
1,Elements.java,clone,Elements clone(),39,42,1070,1077,IdentifierMutator-Variable,contents,this,1,0.023860926,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
2,Elements.java,clone,Elements clone(),39,42,1070,1077,IdentifierMutator-Variable,contents,list,2,0.0070846914,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
3,Elements.java,clone,Elements clone(),39,42,1070,1077,IdentifierMutator-Variable,contents,Elements,3,0.004117374,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
4,Elements.java,clone,Elements clone(),39,42,1070,1077,IdentifierMutator-Variable,contents,element,4,0.0025594288,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
5,Elements.java,clone,Elements clone(),39,42,1070,1077,FieldReferenceMutator,contents,elements,0,0.92669374,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
6,Elements.java,clone,Elements clone(),39,42,1070,1077,FieldReferenceMutator,contents,this,1,0.023860926,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
7,Elements.java,clone,Elements clone(),39,42,1070,1077,FieldReferenceMutator,contents,list,2,0.0070846914,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
8,Elements.java,clone,Elements clone(),39,42,1070,1077,FieldReferenceMutator,contents,Elements,3,0.004117374,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
9,Elements.java,clone,Elements clone(),39,42,1070,1077,FieldReferenceMutator,contents,element,4,0.0025594288,<mask>,"Elements clone() {
    	List<Element> elements = new ArrayList<Element>();
    	
    	for(Element e :<mask>)
    		elements.add(e.clone());
		
    	
    	return new Elements(elements);
	}"
