id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Node.java,attr,String attr(String attributeKey),70,71,2162,2168,MethodCallMutator,notNull,name,0,0.109533966,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
1,Node.java,attr,String attr(String attributeKey),70,71,2162,2168,MethodCallMutator,notNull,validate,1,0.07184036,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
2,Node.java,attr,String attr(String attributeKey),70,71,2162,2168,MethodCallMutator,notNull,valid,2,0.048511304,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
3,Node.java,attr,String attr(String attributeKey),70,71,2162,2168,MethodCallMutator,notNull,ok,3,0.043763243,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
4,Node.java,attr,String attr(String attributeKey),70,71,2162,2168,MethodCallMutator,notNull,str,4,0.03419038,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
5,Node.java,attr,String attr(String attributeKey),70,71,2170,2181,IdentifierMutator-Variable,attributeKey,attribute,0,0.50077075,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
6,Node.java,attr,String attr(String attributeKey),70,71,2170,2181,IdentifierMutator-Variable,attributeKey,attr,1,0.14899689,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
7,Node.java,attr,String attr(String attributeKey),70,71,2170,2181,IdentifierMutator-Variable,attributeKey,params,2,0.039276846,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
8,Node.java,attr,String attr(String attributeKey),70,71,2170,2181,IdentifierMutator-Variable,attributeKey,this,3,0.036104456,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
9,Node.java,attr,String attr(String attributeKey),70,71,2170,2181,IdentifierMutator-Variable,attributeKey,properties,4,0.026789797,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (attributes.hasKey(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
