id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Element.java,nodeName,String nodeName(),54,55,1589,1595,MethodCallMutator,getName,name,0,0.82350266,tag.<mask>(),"String nodeName() {
        return tag.<mask>();
    }"
1,Element.java,nodeName,String nodeName(),54,55,1589,1595,MethodCallMutator,getName,text,1,0.07035638,tag.<mask>(),"String nodeName() {
        return tag.<mask>();
    }"
2,Element.java,nodeName,String nodeName(),54,55,1589,1595,MethodCallMutator,getName,value,2,0.023770802,tag.<mask>(),"String nodeName() {
        return tag.<mask>();
    }"
3,Element.java,nodeName,String nodeName(),54,55,1589,1595,MethodCallMutator,getName,node,3,0.013189928,tag.<mask>(),"String nodeName() {
        return tag.<mask>();
    }"
4,Element.java,nodeName,String nodeName(),54,55,1589,1595,MethodCallMutator,getName,Name,4,0.010462629,tag.<mask>(),"String nodeName() {
        return tag.<mask>();
    }"
5,Element.java,nodeName,String nodeName(),54,55,1585,1587,IdentifierMutator-Variable,tag,node,0,0.8666383,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
6,Element.java,nodeName,String nodeName(),54,55,1585,1587,IdentifierMutator-Variable,tag,n,1,0.020716263,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
7,Element.java,nodeName,String nodeName(),54,55,1585,1587,IdentifierMutator-Variable,tag,child,2,0.013541327,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
8,Element.java,nodeName,String nodeName(),54,55,1585,1587,IdentifierMutator-Variable,tag,element,3,0.012520205,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
9,Element.java,nodeName,String nodeName(),54,55,1585,1587,IdentifierMutator-Variable,tag,parent,4,0.0062341653,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
10,Element.java,nodeName,String nodeName(),54,55,1585,1587,FieldReferenceMutator,tag,node,0,0.8666383,<mask>,"String nodeName() {
        return<mask>.getName();
    }"
