id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1675,1678,IdentifierMutator-Variable,html,http,1,5.240224E-4,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, false);
        return parser.parse();
    }"
1,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1675,1678,IdentifierMutator-Variable,html,xml,2,1.3117949E-4,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, false);
        return parser.parse();
    }"
2,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1675,1678,IdentifierMutator-Variable,html,htm,4,6.443837E-5,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, false);
        return parser.parse();
    }"
3,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1681,1687,IdentifierMutator-Variable,baseUri,true,0,0.23830268,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html,<mask>, false);
        return parser.parse();
    }"
4,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1681,1687,IdentifierMutator-Variable,baseUri,false,1,0.20361175,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html,<mask>, false);
        return parser.parse();
    }"
5,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1681,1687,IdentifierMutator-Variable,baseUri,null,2,0.18314408,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html,<mask>, false);
        return parser.parse();
    }"
6,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1681,1687,IdentifierMutator-Variable,baseUri,"""""",3,0.104148835,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html,<mask>, false);
        return parser.parse();
    }"
7,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1681,1687,IdentifierMutator-Variable,baseUri,url,4,0.05353709,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html,<mask>, false);
        return parser.parse();
    }"
8,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1690,1694,IdentifierMutator-Literal,false,null,0,0.18930934,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri,<mask>);
        return parser.parse();
    }"
9,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1690,1694,IdentifierMutator-Literal,false,true,1,0.17973328,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri,<mask>);
        return parser.parse();
    }"
10,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1690,1694,IdentifierMutator-Literal,false,this,3,0.065036565,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri,<mask>);
        return parser.parse();
    }"
11,Parser.java,parse,"Document parse(String html, String baseUri)",51,52,1690,1694,IdentifierMutator-Literal,false,options,4,0.04755609,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri,<mask>);
        return parser.parse();
    }"
12,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1720,1724,MethodCallMutator,parse,document,2,0.0029023015,<mask>r.<mask>(),"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return parser.<mask>();
    }"
13,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1720,1724,MethodCallMutator,parse,get,3,0.001648913,<mask>r.<mask>(),"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return parser.<mask>();
    }"
14,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1720,1724,MethodCallMutator,parse,parser,4,0.001297388,<mask>r.<mask>(),"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return parser.<mask>();
    }"
15,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1713,1718,IdentifierMutator-Variable,parser,reader,1,1.8250372E-5,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return<mask>.parse();
    }"
16,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1713,1718,IdentifierMutator-Variable,parser,super,3,9.190465E-6,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return<mask>.parse();
    }"
17,Parser.java,parse,"Document parse(String html, String baseUri)",51,53,1713,1718,IdentifierMutator-Variable,parser,builder,4,9.0929525E-6,<mask>,"Document parse(String html, String baseUri) {
        Parser parser = new Parser(html, baseUri, false);
        return<mask>.parse();
    }"
18,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2140,2147,IdentifierMutator-Variable,bodyHtml,body,0,0.6238776,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, true);
        return parser.parse();
    }"
19,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2140,2147,IdentifierMutator-Variable,bodyHtml,document,1,0.11678461,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, true);
        return parser.parse();
    }"
20,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2140,2147,IdentifierMutator-Variable,bodyHtml,html,2,0.08885267,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, true);
        return parser.parse();
    }"
21,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2140,2147,IdentifierMutator-Variable,bodyHtml,this,3,0.03182511,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, true);
        return parser.parse();
    }"
22,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2140,2147,IdentifierMutator-Variable,bodyHtml,xml,4,0.016091371,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(<mask>, baseUri, true);
        return parser.parse();
    }"
23,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2150,2156,IdentifierMutator-Variable,baseUri,true,0,0.3841983,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(bodyHtml,<mask>, true);
        return parser.parse();
    }"
24,Parser.java,parseBodyFragment,"Document parseBodyFragment(String bodyHtml, String baseUri)",62,63,2150,2156,IdentifierMutator-Variable,baseUri,null,1,0.19495994,<mask>,"Document parseBodyFragment(String bodyHtml, String baseUri) {
        Parser parser = new Parser(bodyHtml,<mask>, true);
        return parser.parse();
    }"
