id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Node.java,attr,String attr(String attributeKey),69,70,2108,2114,MethodCallMutator,notNull,name,0,0.097645946,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
1,Node.java,attr,String attr(String attributeKey),69,70,2108,2114,MethodCallMutator,notNull,valid,1,0.05831334,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
2,Node.java,attr,String attr(String attributeKey),69,70,2108,2114,MethodCallMutator,notNull,check,2,0.04455796,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
3,Node.java,attr,String attr(String attributeKey),69,70,2108,2114,MethodCallMutator,notNull,validate,3,0.04088443,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
4,Node.java,attr,String attr(String attributeKey),69,70,2108,2114,MethodCallMutator,notNull,ok,4,0.024846686,Validate.<mask>(attributeKey),"String attr(String attributeKey) {
        Validate.<mask>(attributeKey);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
5,Node.java,attr,String attr(String attributeKey),69,70,2116,2127,IdentifierMutator-Variable,attributeKey,attribute,0,0.4601736,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
6,Node.java,attr,String attr(String attributeKey),69,70,2116,2127,IdentifierMutator-Variable,attributeKey,attr,1,0.21071579,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
7,Node.java,attr,String attr(String attributeKey),69,70,2116,2127,IdentifierMutator-Variable,attributeKey,Attributes,2,0.03750135,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
8,Node.java,attr,String attr(String attributeKey),69,70,2116,2127,IdentifierMutator-Variable,attributeKey,this,3,0.034641623,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
9,Node.java,attr,String attr(String attributeKey),69,70,2116,2127,IdentifierMutator-Variable,attributeKey,params,4,0.023529416,<mask>,"String attr(String attributeKey) {
        Validate.notNull(<mask>);

        if (hasAttr(attributeKey))
            return attributes.get(attributeKey);
        else if (attributeKey.toLowerCase().startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
